Gene_Sequence	A1_FB_ShallowInflow	A3_1mMystic	A4_3mMystic	A5_5mMystic	A6_7mMystic	A7_9mMystic	A8_11mMystic	B1_13mMystic	B2_15mMystic	B3_17mMystic	B4_19mMystic	B5_20mMystic	B6_21mMystic	B7_22mMystic	B9_PosControlEColiMystic	H2_PosControlEBAlly	H3_PosControlEMAlly
bin_33_KDPOFKGA_00036	0.0	246.681771	49.696813	301.040908	125.314021	0.0	0.0	271.719625	40.802603	0.0	47.694085	37.79118	44.157899	39.97026	0.0	0.0	0.0
bin_34_LGAJHCHI_03234	78.100182	27.555487	33.310924	46.627704	14.003843	29.573572	12.600639	0.0	116.919686	4279.318791	1095.99071	1087.88291	972.631339	907.265621	0.0	50.081798	0.0
bin_35_INEJFIFD_01135	61.955169	689.596005	476.017047	0.0	0.0	58.677705	108.733477	35.9415	107.743945	18.799335	0.0	0.0	35.142946	0.0	34322.32833	28856.349961	2477.366879
bin_36_JKNJNDAM_00443	44.520262	37.884904	25.254458	21.354743	25.510506	4.362081	14.892927	39.178101	165.544707	364.736365	339.558158	347.024454	229.040905	201.875187	0.0	0.0	0.0
bin_37_EGFMLAOP_00514	171.57658	0.0	43.97141	123.012677	92.195653	255.345745	133.89693	350.611594	198.149122	0.0	171.724867	69.348418	47.800863	86.229674	0.0	0.0	0.0
bin_37_EGFMLAOP_01009	54.111695	76.05912	46.017045	35.146336	69.106367	122.092493	96.913074	91.920154	128.228198	34.303509	36.589445	139.296975	0.0	73.417367	0.0	0.0	0.0
bin_37_EGFMLAOP_01010	43.264446	0.0	0.0	239.312268	336.310268	1311.247406	617.836724	871.243978	260.296678	162.406255	66.142107	96.868659	64.651773	43.809302	0.0	0.0	0.0
bin_37_EGFMLAOP_01011	38.782128	0.0	114.664232	46.313986	104.428351	177.900853	76.014534	294.362927	70.837853	38.209271	23.847042	75.58236	88.315798	39.97026	0.0	0.0	148.142237
bin_37_EGFMLAOP_01159	41.690972	32.728317	26.311104	43.064997	66.229297	98.629145	43.85226	45.941974	27.477938	48.15717	18.605966	19.866233	11.640623	0.0	0.0	19.004903	0.0
bin_37_EGFMLAOP_01160	0.0	0.0	0.0	14.423395	0.0	297.949742	198.256586	97.279008	99.859547	70.319364	44.192505	0.0	0.0	74.284073	0.0	0.0	0.0
bin_37_EGFMLAOP_02697	89.103742	0.0	113.917335	0.0	71.944007	0.0	65.559146	130.280763	109.517789	44.021211	54.739532	0.0	0.0	45.857485	0.0	0.0	0.0
bin_37_EGFMLAOP_04004	38.033139	0.0	0.0	45.413012	61.407492	108.98662	93.082524	88.755474	79.932166	37.429388	23.372861	0.0	0.0	0.0	0.0	0.0	0.0
bin_39_MFBAGLJA_00727	19.819597	10.3161	12.386979	5.815291	2.60559	7.090335	11.421562	13.368863	222.018901	510.843782	466.053877	411.502402	401.731004	282.125714	0.0	0.0	0.0
bin_4_EJLBMEFP_00005	71.156266	37.755063	0.0	0.0	57.392122	61.132687	34.754808	1054.975462	1417.653049	826.17341	580.863333	628.527837	743.336913	441.474838	0.0	0.0	0.0
bin_4_EJLBMEFP_00437	76.810908	0.0	0.0	22.929986	20.673356	0.0	18.80774	829.484963	1628.553734	1021.23074	684.65269	748.477431	787.09938	435.394059	0.0	0.0	0.0
bin_4_EJLBMEFP_01949	0.000854	0.0	74.737223	45.625403	0.0	68.124574	51.317711	848.43476	1442.924032	1015.153072	826.716246	655.750048	627.046267	448.638324	0.022917	0.047877	0.0
bin_40_ICPDOFHM_00195	62.840181	21.875829	32.017436	22.702839	457.738158	85.190456	68.264674	65.756884	33.74814	43.72063	62.191022	50.198923	32.226645	19.819668	0.0	0.0	122.913398
bin_40_ICPDOFHM_00441	0.0	0.0	0.0	43.719308	650.445565	41.918555	53.659986	42.643383	38.409677	36.00575	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bin_40_ICPDOFHM_00442	78.657416	0.0	33.538807	0.0	605.96669	44.680024	25.383526	75.564598	54.363405	102.040247	47.995829	76.435893	0.0	80.617586	0.0	0.0	0.0
bin_40_ICPDOFHM_00727	53.023233	44.40743	13.389506	12.521467	359.470888	34.925129	14.879472	46.77654	59.777579	58.839812	31.56396	0.0	35.537943	42.731596	0.0	0.0	0.0
bin_40_ICPDOFHM_00728	45.032853	47.068989	0.0	53.081735	533.189157	29.528406	20.976001	88.839891	67.915036	16.552157	37.396932	51.370031	40.706389	9.237237	0.0	0.0	0.0
bin_40_ICPDOFHM_00759	22.37242	26.22109	12.661463	77.749189	569.069988	91.736355	58.739175	62.664258	25.979013	24.23426	7.882895	8.43833	14.901507	13.399463	0.0	0.0	14.151891
bin_40_ICPDOFHM_01427	29.544166	31.054725	18.774798	43.781335	456.015183	90.204366	27.92568	16.547237	29.661765	0.0	35.475754	14.181121	49.679955	44.893169	0.0	27.754377	0.0
bin_40_ICPDOFHM_01524	30.280314	15.91786	0.0	17.953842	709.417314	42.058702	28.648374	8.490931	5.072909	0.0	9.095249	14.541582	67.912609	30.68754	0.0	28.463321	0.0
bin_41_MOGIHAPO_01333	42.006744	44.613637	0.0	0.0	0.0	0.0	102.98373	368.659203	44.254654	41.493516	77.477536	204.839075	191.251791	0.0	0.0	0.0	0.0
bin_41_MOGIHAPO_01597	0.0	0.0	0.0	0.0	8.165088	25.567002	137.858581	159.544942	46.263417	28.87055	92.130836	117.82199	51.583917	108.791007	0.0	0.0	0.0
bin_42_HGLAFGDH_00318	48.850158	25.507403	0.0	28.764037	30.09117	213.023501	264.878922	124.512471	21.287515	7.455798	0.0	0.0	0.0	8.171623	0.0	0.0	0.0
bin_42_HGLAFGDH_00505	97.631448	14.54842	43.740924	53.31469	58.82527	117.454733	109.871235	49.296192	54.471005	25.427441	24.707664	13.21023	31.044881	27.948526	0.0	0.0	0.0
bin_42_HGLAFGDH_01058	109.980739	28.742917	34.626444	27.012496	29.072209	105.215108	149.476377	40.203614	12.026061	8.427007	0.0	8.714811	10.222864	9.212825	0.0	0.0	0.0
bin_42_HGLAFGDH_01465	22.01595	15.315401	18.424014	56.126848	27.095527	159.649619	119.132614	39.960158	14.349282	20.097492	17.347867	6.955337	32.681779	29.427245	0.0	0.0	0.0
bin_43_OKJIKHIN_00281	586.379376	310.152022	259.646396	53.812255	157.506846	114.700552	97.691504	90.489292	38.673753	43.567965	164.56235	21.887725	25.478488	23.082499	0.0	0.0	84.623445
bin_46_OMOCCEHF_00251	24.700889	0.0	20.70386	38.788936	91.303551	94.274555	38.276107	107.968005	40.378207	15.085455	43.879952	7.816077	55.051313	41.32516	0.0	0.0	0.0
bin_46_OMOCCEHF_01674	5.619331	40.975162	63.29059	85.339964	54.878593	112.535018	59.684758	136.796903	54.599487	5.095183	6.616566	10.618999	6.245328	11.237675	0.0	0.0	0.0
bin_47_GFBNLHJL_00404	23.481194	130.74129	137.671011	9.214392	44.812465	51.152582	47.252926	115.287327	140.536374	128.858064	69.459319	81.67197	52.311301	54.965059	0.0	0.0	0.0
bin_47_GFBNLHJL_00850	8.423875	17.599266	0.0	4.961658	0.0	0.0	7.835904	13.817875	99.215019	61.782506	59.883756	71.994608	46.945198	8.458405	0.0	0.0	0.0
bin_47_GFBNLHJL_01950	31.995161	25.056123	60.3148	155.401698	38.002685	30.508396	22.297286	30.565087	83.612362	87.849635	47.340209	7.589955	35.64557	8.026483	0.0	0.0	26.420782
bin_48_IGCKALLP_01606	11.169797	11.635054	6.98877	6.559089	14.696131	15.112797	20.630909	48.33457	103.090657	40.506246	59.179706	73.87298	93.102634	27.920609	0.0	0.0	17.903506
bin_48_IGCKALLP_01608	4.968404	0.0	0.0	2.915612	0.0	0.0	2.290617	18.768377	96.32532	110.152109	90.546749	135.981628	86.072338	61.224761	0.0	8.677218	0.0
bin_49_APKKBAMP_00039	335.808987	276.945802	63.554493	119.883292	380.137127	511.1754	560.52266	723.250341	345.96532	183.470231	137.448513	163.505893	42.4531	38.428641	0.0	0.0	0.0
bin_52_PJGLABHM_03117	67.731078	30.360376	36.589671	51.360506	30.712483	0.0	13.544024	15.947836	6.359936	17.829466	11.495969	9.208962	10.798247	9.733725	0.0	0.0	3787.344769
bin_53_BJCANHEK_00264	226.026266	79.922548	128.765803	81.325169	82.502103	44.927452	263.174656	390.014974	349.632857	111.19119	138.83151	165.250685	257.210433	77.624644	0.0	0.0	0.0
bin_55_JHAHOKBP_04041	116.50976	112.405198	90.26161	15.845476	37.895559	146.897802	154.441774	108.029921	14.689193	16.467888	26.578145	42.594507	9.994622	9.006266	0.0	16.151412	119.8669
bin_58_KDKMPMAC_00060	14.796436	23.160953	9.287766	21.763859	11.707512	52.316035	170.921758	157.145237	63.067206	27.020502	196.773642	245.438922	197.694332	103.840597	0.0	0.0	0.0
bin_58_KDKMPMAC_00064	9.450142	29.645414	23.81445	0.0	9.995793	62.042939	233.560762	212.684845	142.749018	86.989617	230.053819	260.724026	168.702563	256.592884	0.0	17.097169	0.0
